Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D15Z;D15B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B;D25Z;D25B;D26Z;D26B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D34Z;D34B;D35Z;D35B;D36Z;D36B;D37Z;D37B;D41Z;D41B;D42Z;D42B;D43Z;D43B;D44Z;D44B;D45Z;D45B;D46Z;D46B;D47Z;D47B;D48Z;D48B;TF32Z;TF32B;TF32aZ;TF32aB;TF33Z;TF33B;TF35Z;TF35B;TF35aZ;TF35aB;TF38Z;TF38B;TF38aZ;TF38aB;TF39Z;TF39B;V10Z;V10B;V20Z;V20B;V30Z;V30B;V40Z;V40B;V1_gestoertZ;V1_gestoertB;V2_gestoertZ;V2_gestoertB;V3_gestoertZ;V3_gestoertB;V4_gestoertZ;V4_gestoertB
28.09.2024;00:50;A 88;1;2;1;1;1;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;1;1;0;0;0;50;0;0;0;0;2;2;0;0;0;0;0;0;1;17;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:49;A 88;1;2;1;0;0;0;0;2;52;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;50;0;0;1;0;0;0;2;80;1;3;1;0;0;0;0;0;3;18;3;3;2;23;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:48;A 88;1;0;0;3;3;1;0;0;0;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;2;0;0;2;2;0;0;0;35;1;4;1;1;0;0;0;0;0;0;0;0;1;61;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:47;A 88;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;1;45;0;0;1;1;0;0;1;89;1;3;1;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:46;A 88;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;0;0;0;1;39;0;0;0;0;1;2;1;0;1;0;0;0;0;0;0;0;1;24;1;27;1;4;2;1;1;0;1;0;2;1;1;14;1;14;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:45;A 88;1;0;0;2;1;0;0;1;4;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:44;A 88;1;1;1;1;0;0;0;1;39;0;0;0;0;0;0;0;0;1;53;1;1;0;0;4;53;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:43;A 88;1;1;1;2;1;0;0;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;1;34;3;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;3;0;0;1;33;2;1;1;21;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:42;A 88;1;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;1;16;1;1;0;0;0;0;0;0;0;0;3;2;1;31;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:41;A 88;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;21;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;11;1;12;2;2;0;0;0;0;0;0;0;0;1;53;1;3;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:40;A 88;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;14;1;1;0;0;0;0;0;0;0;0;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:39;A 88;1;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0;1;27;1;3;1;0;1;0;0;0;0;0;0;0;0;54;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:38;A 88;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;45;1;1;1;1;1;0;1;0;1;1;2;2;1;1;2;72;1;6;1;1;0;0;0;0;0;0;0;0;2;12;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:37;A 88;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21;1;1;0;0;1;47;1;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;5;1;0;3;2;0;0;0;0;1;0;1;26;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:36;A 88;1;1;1;1;0;0;0;1;4;1;1;1;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;2;16;0;0;2;1;0;0;2;4;1;11;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:35;A 88;1;0;0;2;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:34;A 88;1;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;0;0;2;1;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:33;A 88;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;13;1;1;0;0;0;0;0;0;0;0;1;1;1;22;0;0;1;0;0;0;1;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:32;A 88;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;5;1;14;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:31;A 88;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;38;1;3;0;0;0;0;1;76;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:30;A 88;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;38;2;2;2;1;1;0;1;24;0;0;2;1;0;0;1;19;1;15;1;0;0;0;1;0;1;1;1;1;1;27;1;1;2;3;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:29;A 88;1;0;0;2;2;1;1;0;0;0;0;0;0;1;0;0;0;1;16;1;1;0;0;1;9;1;1;0;0;0;0;1;18;0;0;1;1;0;0;1;13;1;20;1;3;3;9;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:28;A 88;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;16;1;0;1;1;0;0;1;2;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:27;A 88;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;40;2;2;1;1;0;0;2;7;0;0;2;1;0;0;1;26;1;5;1;1;0;0;1;1;0;25;0;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:26;A 88;1;0;0;1;1;0;0;1;6;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;11;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:25;A 88;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;1;22;1;1;1;1;1;4;2;34;1;12;3;9;1;0;1;40;1;7;1;1;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:24;A 88;1;0;0;3;2;1;0;1;3;1;1;0;1;0;0;0;0;1;31;1;1;0;0;1;4;1;1;0;0;1;1;2;2;0;0;2;1;0;0;1;2;1;4;1;0;0;0;0;0;0;0;0;0;1;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:23;A 88;1;1;1;1;1;1;2;0;0;0;0;1;1;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;1;1;3;13;0;0;3;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;23;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:22;A 88;1;0;0;2;2;1;0;1;16;1;1;1;2;1;0;0;0;1;32;1;1;0;0;0;13;0;0;2;2;2;2;2;40;0;0;3;2;0;0;1;12;1;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:21;A 88;1;0;0;2;1;0;0;2;26;2;2;2;5;0;0;0;0;1;51;1;1;0;0;2;57;1;1;1;1;2;4;3;48;1;43;2;2;1;1;1;61;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:20;A 88;1;1;2;1;0;1;1;0;0;0;0;0;0;2;2;0;0;1;1;1;0;0;0;1;18;2;2;2;2;1;0;1;0;0;0;1;0;0;0;2;30;1;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:19;A 88;1;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;1;0;2;19;0;0;2;2;0;0;2;21;2;11;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:18;A 88;1;0;0;3;7;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;31;1;2;1;4;2;3;2;39;1;16;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:17;A 88;1;0;0;3;3;0;0;1;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;29;0;0;2;1;0;0;1;26;1;5;1;1;0;0;0;0;1;38;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:16;A 88;1;0;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:15;A 88;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;11;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:14;A 88;1;3;3;2;3;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;45;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:13;A 88;1;1;0;3;2;1;0;1;29;1;1;1;2;0;0;0;0;2;26;2;3;0;0;0;0;0;0;0;0;3;3;3;12;0;0;3;5;0;0;1;41;1;5;1;1;0;0;0;0;0;0;3;1;1;51;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:12;A 88;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;5;2;2;0;0;1;1;0;1;2;1;0;0;2;26;0;0;1;1;0;0;1;48;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:11;A 88;1;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;1;3;2;2;1;2;1;1;0;0;0;0;1;1;0;0;0;0;1;5;1;1;0;0;0;0;0;0;0;0;1;31;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:10;A 88;1;1;0;2;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;29;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:09;A 88;1;0;0;4;5;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30;1;1;0;0;2;3;2;10;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:08;A 88;1;4;4;2;2;1;1;1;5;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;37;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:07;A 88;1;2;2;1;0;1;0;1;22;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3;20;0;0;3;2;0;0;1;1;1;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:06;A 88;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;2;1;1;1;3;23;3;32;3;3;3;3;2;42;2;15;2;3;2;2;0;0;0;0;0;0;1;47;2;50;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:05;A 88;1;0;0;1;1;0;0;1;20;1;1;1;3;0;0;0;0;0;0;0;0;0;0;1;39;4;4;0;0;1;0;1;2;0;0;0;0;0;0;1;42;1;6;1;1;0;0;0;0;1;21;1;1;1;43;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:04;A 88;1;0;0;2;3;1;0;1;33;1;1;1;3;0;0;0;0;0;10;0;0;0;0;1;40;1;1;1;15;0;0;1;61;0;0;2;3;0;0;0;0;0;0;0;0;1;0;0;0;1;56;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:03;A 88;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;6;1;1;0;0;0;0;0;0;0;0;2;2;1;39;1;35;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;12;1;1;1;32;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:02;A 88;1;2;1;4;4;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:01;A 88;1;4;3;1;1;1;1;1;19;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21;1;0;1;0;1;0;0;2;0;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:00;A 88;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;6;1;1;1;0;0;0;0;0;1;0;2;15;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:59;A 88;1;0;0;3;3;0;0;0;0;0;0;0;0;1;0;0;0;1;38;1;1;0;0;0;0;0;0;1;0;1;1;2;5;1;1;1;0;1;0;0;33;0;0;0;0;1;0;0;0;1;0;2;1;0;0;1;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:58;A 88;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;1;1;0;0;0;0;1;50;2;40;2;2;2;2;1;4;1;4;1;0;2;4;0;0;0;0;3;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:57;A 88;1;1;2;0;0;0;0;1;51;1;1;1;3;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;0;7;7;1;13;0;0;1;1;0;0;1;24;0;3;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0
27.09.2024;23:56;A 88;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;54;2;2;1;0;2;1;1;0;0;0;2;1;0;0;1;1;2;8;2;2;0;0;0;0;2;15;2;2;1;25;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:55;A 88;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;14;2;2;0;0;0;0;0;0;1;0;0;0;2;1;1;0;1;1;1;0;0;0;0;0;0;0;2;2;1;5;0;0;0;0;1;29;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:54;A 88;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;0;0;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;8;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:53;A 88;1;2;1;2;3;1;1;1;12;1;1;1;2;0;0;0;0;1;26;1;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;41;1;10;1;1;0;0;0;0;1;34;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:52;A 88;1;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;1;26;1;1;0;0;0;0;0;0;2;1;2;1;2;30;1;1;2;2;1;1;2;13;2;17;2;2;0;0;0;0;1;24;1;1;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:51;A 88;1;0;0;2;3;2;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25;1;1;1;0;0;0;1;34;0;0;1;1;0;0;1;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:50;A 88;1;1;0;4;5;0;0;2;57;1;1;1;3;0;0;0;0;1;43;1;1;0;0;0;4;0;0;2;0;4;5;2;24;0;0;3;2;0;0;0;0;1;6;1;1;0;0;0;0;0;0;0;0;2;45;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:49;A 88;1;2;2;3;3;1;1;0;0;0;0;0;0;0;0;0;0;2;33;2;2;0;0;1;17;1;1;1;0;1;1;2;2;1;0;2;2;1;0;1;3;1;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:48;A 88;1;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;1;29;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:47;A 88;1;0;0;2;2;0;0;0;93;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;59;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;47;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:46;A 88;1;0;0;0;0;1;1;1;10;1;1;1;2;0;0;0;0;1;3;2;1;1;5;0;0;0;0;2;4;1;0;1;0;0;0;1;0;0;0;1;56;1;4;1;0;0;0;0;0;1;0;1;0;1;8;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0
27.09.2024;23:45;A 88;1;0;0;3;3;0;0;0;38;0;0;0;0;0;0;0;0;1;48;1;1;0;0;0;0;0;0;1;0;1;0;5;64;3;62;4;5;2;3;1;42;1;5;1;1;0;0;0;0;2;61;2;2;0;5;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
27.09.2024;23:44;A 88;1;0;0;1;1;1;1;1;2;1;1;1;2;0;0;0;0;1;25;0;0;0;0;1;6;1;1;1;0;0;0;1;31;0;0;2;2;1;0;1;56;1;4;1;1;1;0;1;11;0;0;1;0;1;27;3;39;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:43;A 88;1;5;6;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;58;2;3;0;0;0;0;0;0;0;0;0;0;2;3;0;0;2;2;0;0;1;29;1;5;1;1;3;2;1;1;1;0;2;1;1;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:42;A 88;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;50;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:41;A 88;1;1;0;0;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;1;1;0;0;2;41;3;3;1;1;0;0;1;0;0;0;1;0;0;0;2;33;2;7;2;1;1;0;0;0;0;0;0;0;1;7;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:40;A 88;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;23;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:39;A 88;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;4;62;3;5;3;2;1;0;1;25;0;0;1;1;0;0;2;4;2;12;2;2;1;0;0;0;1;15;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.09.2024;23:38;A 88;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19;2;4;2;1;2;2;6;25;3;3;5;4;3;2;2;61;2;54;1;0;2;2;0;0;2;11;2;2;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
